Date,Open,High,Low,Close,Adj Close,Volume
2023-08-03,316.079987,318.359985,314.149994,317.130005,317.130005,1355900
2023-08-04,315.579987,317.880005,311.250000,312.000000,312.000000,2140600
2023-08-07,314.089996,316.130005,312.049988,315.869995,315.869995,1530600
2023-08-08,312.929993,315.299988,309.619995,315.149994,315.149994,1550300
2023-08-09,314.579987,315.190002,310.209991,311.529999,311.529999,1504500
2023-08-10,311.500000,314.820007,308.869995,310.410004,310.410004,1862400
2023-08-11,307.970001,310.500000,306.130005,309.049988,309.049988,1351200
2023-08-14,308.040009,312.470001,307.760010,311.709991,311.709991,1334200
2023-08-15,310.850006,311.500000,306.500000,307.399994,307.399994,1256100
2023-08-16,305.549988,310.399994,305.260010,307.640015,307.640015,1212500
2023-08-17,308.339996,309.209991,304.769989,305.640015,305.640015,1653700
2023-08-18,302.839996,304.839996,301.309998,302.940002,302.940002,1997100
