Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,287.799988,296.809998,254.270004,257.299988,253.200485,50957600
2022-10-01,260.269989,288.220001,242.949997,283.899994,279.376648,46327800
2022-11-01,287.059998,300.970001,256.019989,300.929993,297.452240,39821400
2022-12-01,302.450012,305.130005,253.500000,266.839996,263.756226,50441000
2023-01-01,269.200012,287.970001,261.369995,279.049988,275.825104,45061600
2023-02-01,276.600006,295.790009,262.750000,265.549988,263.554749,35007000
2023-03-01,265.010010,285.959991,242.800003,285.809998,283.662567,69747200
2023-04-01,283.390015,288.649994,270.200012,280.290009,278.184021,43364700
2023-05-01,279.089996,318.910004,261.679993,305.920013,304.813751,61226100
2023-06-01,305.730011,327.929993,296.000000,308.579987,307.464111,62201300
2023-07-01,308.000000,324.190002,304.119995,316.350006,315.206024,36727800
2023-08-01,315.440002,321.380005,301.309998,302.940002,302.940002,22462600
2023-08-18,302.839996,304.839996,301.309998,302.940002,302.940002,1904923
